state,month_start,ev_total,period,cum_ports,dc_ratio
Johor,2020-01-01,0,Historical,0.0,0.0
Johor,2020-02-01,0,Historical,0.0,0.0
Johor,2020-03-01,0,Historical,0.0,0.0
Johor,2020-04-01,0,Historical,0.0,0.0
Johor,2020-05-01,0,Historical,0.0,0.0
Johor,2020-06-01,0,Historical,0.0,0.0
Johor,2020-07-01,0,Historical,0.0,0.0
Johor,2020-08-01,0,Historical,0.0,0.0
Johor,2020-09-01,0,Historical,0.0,0.0
Johor,2020-10-01,1,Historical,0.0,0.0
Johor,2020-11-01,1,Historical,0.0,0.0
Johor,2020-12-01,0,Historical,0.0,0.0
Johor,2021-01-01,3,Historical,0.0,0.0
Johor,2021-02-01,0,Historical,0.0,0.0
Johor,2021-03-01,0,Historical,0.0,0.0
Johor,2021-04-01,2,Historical,0.0,0.0
Johor,2021-05-01,2,Historical,0.0,0.0
Johor,2021-06-01,0,Historical,0.0,0.0
Johor,2021-07-01,1,Historical,0.0,0.0
Johor,2021-08-01,3,Historical,0.0,0.0
Johor,2021-09-01,2,Historical,0.0,0.0
Johor,2021-10-01,2,Historical,0.0,0.0
Johor,2021-11-01,0,Historical,0.0,0.0
Johor,2021-12-01,1,Historical,0.0,0.0
Johor,2022-01-01,0,Historical,0.0,0.0
Johor,2022-02-01,1,Historical,0.0,0.0
Johor,2022-03-01,8,Historical,0.0,0.0
Johor,2022-04-01,19,Historical,0.0,0.0
Johor,2022-05-01,10,Historical,0.0,0.0
Johor,2022-06-01,12,Historical,0.0,0.0
Johor,2022-07-01,8,Historical,0.0,0.0
Johor,2022-08-01,15,Historical,0.0,0.0
Johor,2022-09-01,35,Historical,0.0,0.0
Johor,2022-10-01,19,Historical,0.0,0.0
Johor,2022-11-01,31,Historical,0.0,0.0
Johor,2022-12-01,61,Historical,0.0,0.0
Johor,2023-01-01,23,Historical,0.0,0.0
Johor,2023-02-01,38,Historical,0.0,0.0
Johor,2023-03-01,66,Historical,51.0,0.2549019607843137
Johor,2023-04-01,47,Historical,51.0,0.2549019607843137
Johor,2023-05-01,70,Historical,51.0,0.2549019607843137
Johor,2023-06-01,62,Historical,51.0,0.2549019607843137
Johor,2023-07-01,72,Historical,58.0,0.293103448275862
Johor,2023-08-01,75,Historical,66.0,0.3181818181818182
Johor,2023-09-01,59,Historical,66.0,0.3181818181818182
Johor,2023-10-01,89,Historical,92.0,0.2717391304347826
Johor,2023-11-01,120,Historical,92.0,0.2717391304347826
Johor,2023-12-01,234,Historical,111.0,0.2432432432432432
Johor,2024-01-01,107,Historical,111.0,0.2432432432432432
Johor,2024-02-01,81,Historical,111.0,0.2432432432432432
Johor,2024-03-01,176,Historical,116.0,0.2586206896551724
Johor,2024-04-01,122,Historical,124.0,0.2419354838709677
Johor,2024-05-01,200,Historical,124.0,0.2419354838709677
Johor,2024-06-01,147,Historical,136.0,0.2352941176470588
Johor,2024-07-01,141,Historical,136.0,0.2352941176470588
Johor,2024-08-01,133,Historical,144.0,0.2291666666666666
Johor,2024-09-01,123,Historical,165.0,0.2363636363636363
Johor,2024-10-01,124,Historical,273.0,0.2857142857142857
Johor,2024-11-01,141,Historical,273.0,0.2857142857142857
Johor,2024-12-01,227,Historical,331.0,0.3444108761329305
Johor,2025-01-01,122,Historical,331.0,0.3444108761329305
Johor,2025-02-01,180,Historical,331.0,0.3444108761329305
Johor,2025-03-01,228,Historical,331.0,0.3444108761329305
Johor,2025-04-01,229,Historical,331.0,0.3444108761329305
Johor,2025-05-01,371,Historical,466.0,0.4721030042918455
Johor,2025-06-01,268,Historical,466.0,0.4721030042918455
Johor,2025-07-01,231,Historical,466.0,0.4721030042918455
Johor,2025-08-01,274,Historical,466.0,0.4721030042918455
Johor,2025-09-01,293,Historical,466.0,0.4721030042918455
Johor,2025-09-01,278,XGBoost Forecast,466.0,0.4721030042918455
Johor,2025-10-01,303,XGBoost Forecast,466.0,0.4721030042918455
Johor,2025-11-01,330,XGBoost Forecast,466.0,0.4721030042918455
Johor,2025-12-01,433,XGBoost Forecast,466.0,0.4721030042918455
Johor,2026-01-01,315,XGBoost Forecast,466.0,0.4721030042918455
Johor,2026-02-01,336,XGBoost Forecast,466.0,0.4721030042918455
Johor,2026-03-01,481,XGBoost Forecast,466.0,0.4721030042918455
Johor,2026-04-01,417,XGBoost Forecast,466.0,0.4721030042918455
Johor,2026-05-01,594,XGBoost Forecast,466.0,0.4721030042918455
Johor,2026-06-01,519,XGBoost Forecast,466.0,0.4721030042918455
Johor,2026-07-01,459,XGBoost Forecast,466.0,0.4721030042918455
Johor,2026-08-01,556,XGBoost Forecast,466.0,0.4721030042918455
Johor,2026-09-01,531,XGBoost Forecast,466.0,0.4721030042918455
Johor,2026-10-01,561,XGBoost Forecast,466.0,0.4721030042918455
Johor,2026-11-01,667,XGBoost Forecast,466.0,0.4721030042918455
Johor,2026-12-01,855,XGBoost Forecast,466.0,0.4721030042918455
Johor,2027-01-01,648,XGBoost Forecast,466.0,0.4721030042918455
